t_s,q_pitch,q_roll,q_yaw,q_elbow
14.5000,0.397584,2.623382,0.516103,0.297585
14.5167,0.413476,2.638547,0.520819,0.310653
14.5333,0.425222,2.644660,0.523239,0.322028
14.5500,0.433709,2.657341,0.528064,0.327584
14.5667,0.439509,2.669794,0.533654,0.329498
14.5833,0.443779,2.679615,0.538713,0.331618
14.6000,0.445460,2.679227,0.538959,0.331219
14.6167,0.447208,2.688210,0.544312,0.333385
14.6333,0.458961,2.707053,0.551066,0.349056
14.6500,0.476696,2.728080,0.556769,0.371643
14.6667,0.488910,2.737585,0.559766,0.389097
14.6833,0.497193,2.746644,0.563485,0.401145
14.7000,0.497993,2.758749,0.568875,0.401387
14.7167,0.501770,2.775029,0.575673,0.405328
14.7333,0.514597,2.788640,0.579778,0.411808
14.7500,0.531001,2.796363,0.580108,0.414011
14.7667,0.548847,2.809946,0.582966,0.418639
14.7833,0.562307,2.821074,0.585504,0.415937
14.8000,0.569579,2.840131,0.592647,0.414326
14.8167,0.573266,2.849060,0.596495,0.406818
14.8333,0.582173,2.862215,0.601284,0.409645
14.8500,0.593716,2.881104,0.607966,0.429226
14.8667,0.599818,2.899424,0.615623,0.442608
14.8833,0.605307,2.908569,0.619957,0.453215
14.9000,0.609991,2.912952,0.621971,0.461069
14.9167,0.613167,2.912556,0.622614,0.465804
14.9333,0.614957,2.915758,0.624631,0.471516
14.9500,0.617548,2.917866,0.625864,0.479724
14.9667,0.616973,2.920809,0.627724,0.482694
14.9833,0.612637,2.933174,0.633632,0.483104
15.0000,0.615712,2.945516,0.638197,0.491700
15.0167,0.625707,2.956425,0.640184,0.508742
15.0333,0.637039,2.968622,0.642009,0.536803
15.0500,0.653086,2.976609,0.640656,0.571290
15.0667,0.666201,2.982261,0.638989,0.595008
15.0833,0.682418,2.990005,0.636748,0.627119
15.1000,0.695506,2.991361,0.633213,0.646476
15.1167,0.708542,2.993859,0.629875,0.665286
15.1333,0.710218,2.991501,0.628648,0.664820
15.1500,0.713451,2.988940,0.626809,0.666670
15.1667,0.719086,2.983144,0.623431,0.661690
15.1833,0.722910,2.986273,0.623163,0.660117
15.2000,0.721753,2.988588,0.623814,0.652768
15.2167,0.715673,2.990811,0.625726,0.641868
15.2333,0.714358,2.991722,0.626280,0.641016
15.2500,0.712890,2.993035,0.626983,0.641587
15.2667,0.711164,2.996398,0.628255,0.647222
15.2833,0.710131,2.993556,0.627593,0.650430
15.3000,0.708900,2.991851,0.627091,0.658950
15.3167,0.709208,2.988864,0.625511,0.671461
15.3333,0.709344,2.988039,0.624347,0.683905
15.3500,0.707408,2.981956,0.622640,0.684884
15.3667,0.699179,2.978527,0.622605,0.676851
15.3833,0.691692,2.986312,0.625810,0.666293
15.4000,0.691933,3.005343,0.630589,0.675823
15.4167,0.692493,3.022362,0.634648,0.686146
15.4333,0.690460,3.020043,0.634232,0.678795
15.4500,0.693034,3.015699,0.632402,0.676971
15.4667,0.697809,3.010233,0.629786,0.676062
15.4833,0.702957,3.003581,0.626777,0.673269
15.5000,0.709177,2.993531,0.622604,0.667998
15.5167,0.716589,2.983061,0.618050,0.666300
15.5333,0.723320,2.974822,0.614242,0.665582
15.5500,0.725615,2.977352,0.614396,0.666213
15.5667,0.726783,2.983268,0.615738,0.669863
15.5833,0.723239,2.988225,0.617880,0.668256
15.6000,0.717173,2.993195,0.620670,0.663606
15.6167,0.708857,2.998643,0.624183,0.658667
15.6333,0.699059,3.005420,0.628499,0.652898
15.6500,0.684650,3.016492,0.635328,0.644498
15.6667,0.671590,3.033299,0.643320,0.643452
15.6833,0.672818,3.042857,0.646172,0.653427
15.7000,0.674487,3.050748,0.648278,0.661824
15.7167,0.668677,3.047089,0.648930,0.651944
15.7333,0.668510,3.036894,0.646372,0.648331
15.7500,0.669412,3.023772,0.642645,0.647063
15.7667,0.670897,3.008562,0.638072,0.647062
15.7833,0.670291,2.993808,0.633971,0.644822
15.8000,0.658830,2.967704,0.629144,0.619620
15.8167,0.649442,2.943478,0.624298,0.599176
15.8333,0.644798,2.921928,0.618957,0.586388
15.8500,0.645696,2.907415,0.614245,0.582528
15.8667,0.648377,2.896628,0.610124,0.579790
15.8833,0.648310,2.881833,0.605406,0.566776
15.9000,0.651731,2.873529,0.601877,0.566364
15.9167,0.659286,2.865996,0.597367,0.571990
15.9333,0.666908,2.867622,0.595444,0.581587
15.9500,0.675823,2.873699,0.594649,0.589799
15.9667,0.683978,2.881164,0.594620,0.594979
15.9833,0.695951,2.897651,0.596654,0.601014
16.0000,0.701021,2.912652,0.600087,0.601246
16.0167,0.704850,2.939276,0.607689,0.603628
16.0333,0.711489,2.964449,0.614495,0.606891
16.0500,0.712070,2.986758,0.621805,0.605117
16.0667,0.715216,3.003057,0.626862,0.606526
16.0833,0.715846,3.012467,0.630168,0.606073
16.1000,0.713207,3.019203,0.633478,0.604740
16.1167,0.718476,3.040587,0.640169,0.616986
16.1333,0.715874,3.047769,0.643507,0.613158
16.1500,0.713937,3.043139,0.643541,0.610396
16.1667,0.711959,3.033260,0.641940,0.606643
16.1833,0.711699,3.024411,0.640145,0.601568
16.2000,0.710994,3.013981,0.638215,0.590718
16.2167,0.705319,3.001896,0.637007,0.574395
16.2333,0.701573,3.001168,0.638428,0.570244
16.2500,0.690015,2.987861,0.638419,0.552809
16.2667,0.682534,2.977071,0.637535,0.548912
16.2833,0.677368,2.971741,0.637473,0.548657
16.3000,0.671628,2.965733,0.637339,0.546797
16.3167,0.666332,2.962719,0.638003,0.538947
16.3333,0.659862,2.953162,0.637155,0.520824
16.3500,0.665340,2.959706,0.638014,0.520043
16.3667,0.674149,2.971271,0.639980,0.525951
16.3833,0.682627,2.985049,0.642824,0.531552
16.4000,0.694119,3.003613,0.646458,0.541167
16.4167,0.707801,3.018243,0.648347,0.551276
16.4333,0.704036,3.004688,0.646064,0.537694
16.4500,0.690958,2.978446,0.642228,0.517730
16.4667,0.687001,2.972651,0.641854,0.515826
16.4833,0.693088,2.981989,0.643555,0.522024
16.5000,0.707891,3.001922,0.646467,0.544246
16.5167,0.725643,3.032954,0.651729,0.579521
16.5333,0.737784,3.052127,0.654584,0.598113
16.5500,0.744211,3.061482,0.655891,0.603962
16.5667,0.749802,3.070168,0.657118,0.614732
16.5833,0.752297,3.074913,0.657896,0.618741
16.6000,0.753310,3.074083,0.657415,0.618956
16.6167,0.752801,3.068485,0.655924,0.617141
16.6333,0.750351,3.060296,0.654109,0.616829
16.6500,0.745217,3.048258,0.651670,0.616133
16.6667,0.732254,3.022905,0.646906,0.610942
16.6833,0.712537,2.986371,0.639909,0.600003
16.7000,0.685946,2.941978,0.631903,0.575120
16.7167,0.661965,2.905422,0.625175,0.553125
16.7333,0.652088,2.891417,0.621959,0.543748
16.7500,0.652956,2.892245,0.621634,0.542627
16.7667,0.661150,2.901305,0.621116,0.548416
16.7833,0.667157,2.911830,0.622360,0.546661
16.8000,0.671417,2.922104,0.624000,0.548530
16.8167,0.673598,2.934481,0.626959,0.552538
16.8333,0.674953,2.947980,0.630578,0.557361
16.8500,0.676922,2.968165,0.636097,0.569708
16.8667,0.681981,2.989669,0.641280,0.581727
16.8833,0.685758,3.008266,0.645956,0.590658
16.9000,0.693284,3.026698,0.649749,0.598602
16.9167,0.699854,3.033281,0.650238,0.597453
16.9333,0.699334,3.027609,0.649012,0.593234
16.9500,0.698442,3.023716,0.648412,0.587633
16.9667,0.699379,3.024645,0.648564,0.587120
16.9833,0.694737,3.016735,0.647820,0.579101
17.0000,0.694328,3.015924,0.647783,0.579517
17.0167,0.694733,3.013868,0.647272,0.577238
17.0333,0.694940,3.010767,0.646636,0.571467
17.0500,0.695359,3.007563,0.645969,0.564537
17.0667,0.697105,3.006517,0.645502,0.561326
17.0833,0.699688,3.007938,0.645426,0.560683
17.1000,0.703014,3.012839,0.646545,0.563646
17.1167,0.700462,3.010037,0.646784,0.560738
17.1333,0.695172,3.006472,0.647263,0.562664
17.1500,0.686938,3.001476,0.647960,0.562827
17.1667,0.672465,2.991647,0.648851,0.546955
17.1833,0.649236,2.980174,0.651507,0.527773
17.2000,0.630186,2.974675,0.654818,0.519070
17.2167,0.610292,2.976134,0.660533,0.507795
17.2333,0.602333,2.994539,0.668231,0.520233
17.2500,0.603537,3.023281,0.676196,0.549750
17.2667,0.606163,3.047049,0.682038,0.566786
17.2833,0.612403,3.066588,0.685766,0.579329
17.3000,0.621848,3.085468,0.688364,0.594564
17.3167,0.623381,3.084128,0.687422,0.588050
17.3333,0.620866,3.064280,0.682260,0.571942
17.3500,0.616859,3.041610,0.676669,0.555328
17.3667,0.614059,3.013537,0.669034,0.540082
17.3833,0.608607,2.987435,0.662539,0.523524
17.4000,0.601270,2.964935,0.657502,0.507158
17.4167,0.594712,2.948079,0.653855,0.495759
17.4333,0.598783,2.945224,0.651363,0.512104
17.4500,0.604714,2.946864,0.649623,0.527393
