t_s,q_pitch,q_roll,q_yaw,q_elbow
11.0500,-0.488862,-0.394240,-0.738477,2.889652
11.0667,-0.470554,-0.400086,-0.739765,2.867093
11.0833,-0.437972,-0.407065,-0.736811,2.810834
11.1833,-0.285979,-0.484538,-0.648012,2.192498
11.2000,-0.309141,-0.522918,-0.637747,2.188789
11.2167,-0.363706,-0.573948,-0.625735,2.249257
11.2333,-0.417387,-0.612808,-0.619845,2.305559
11.2500,-0.453605,-0.640903,-0.615765,2.343269
11.2667,-0.484787,-0.661467,-0.613967,2.366859
11.2833,-0.520796,-0.662953,-0.618783,2.382988
11.3000,-0.554716,-0.651807,-0.627541,2.391392
11.3167,-0.589938,-0.624616,-0.641555,2.390217
11.3333,-0.624464,-0.596647,-0.655965,2.388390
11.3500,-0.650235,-0.569588,-0.668607,2.386925
11.3667,-0.661396,-0.549417,-0.676648,2.379328
11.3833,-0.666285,-0.531511,-0.682706,2.369510
11.4000,-0.666703,-0.517091,-0.686748,2.357772
11.4167,-0.664714,-0.502668,-0.689920,2.339317
11.4333,-0.657331,-0.497865,-0.689318,2.330620
11.4500,-0.652388,-0.496329,-0.688515,2.330203
11.4667,-0.654362,-0.495275,-0.689001,2.332968
11.4833,-0.659623,-0.500016,-0.688912,2.348874
11.5000,-0.670312,-0.501199,-0.691459,2.367984
11.5167,-0.682050,-0.510765,-0.692937,2.398747
11.5333,-0.696402,-0.525087,-0.694620,2.434145
11.5500,-0.710903,-0.543312,-0.695839,2.461955
11.5667,-0.728905,-0.566683,-0.696581,2.484558
11.5833,-0.758859,-0.590293,-0.699278,2.489750
11.6000,-0.797912,-0.622624,-0.701943,2.509729
11.6167,-0.843382,-0.658265,-0.705438,2.545051
11.6333,-0.892240,-0.695967,-0.709751,2.589190
11.6500,-0.943785,-0.732409,-0.716493,2.668629
11.6667,-0.992066,-0.770628,-0.723284,2.740826
11.6833,-1.032372,-0.817224,-0.725716,2.807106
11.7000,-1.072641,-0.855775,-0.730240,2.856584
11.7167,-1.104327,-0.883543,-0.735865,2.904453
11.7333,-1.129546,-0.898692,-0.743996,2.949534
11.7500,-1.152459,-0.899955,-0.756703,2.979676
11.7667,-1.163252,-0.898747,-0.764723,2.992705
11.7833,-1.168941,-0.899296,-0.769033,2.989658
11.8000,-1.170075,-0.907927,-0.768571,2.990212
11.8167,-1.168211,-0.926774,-0.763187,2.986609
11.8667,-1.090592,-1.059360,-0.686995,2.924863
11.8833,-1.055894,-1.089475,-0.661837,2.870970
11.9000,-1.012122,-1.117851,-0.632120,2.770260
11.9167,-0.978602,-1.128210,-0.611548,2.673863
11.9333,-0.967341,-1.124138,-0.602541,2.608541
11.9500,-0.936584,-1.129576,-0.583004,2.542415
11.9667,-0.885682,-1.130708,-0.557298,2.447318
11.9833,-0.818915,-1.126209,-0.528077,2.346389
12.0167,-0.663961,-1.035344,-0.480081,1.982624
12.0333,-0.579428,-0.976761,-0.410273,1.795082
12.0500,-0.507126,-0.907706,-0.274609,1.623558
12.0667,-0.450067,-0.862159,-0.201372,1.518583
12.0833,-0.432006,-0.817118,-0.167241,1.507863
12.1167,-0.510876,-0.769826,-0.228255,1.807960
12.1333,-0.554021,-0.757213,-0.266524,1.942148
12.1500,-0.578505,-0.743541,-0.300398,2.053774
12.1667,-0.577331,-0.732710,-0.325579,2.121489
12.2000,-0.543492,-0.686686,-0.353790,2.086370
12.2167,-0.506171,-0.675110,-0.371268,2.031687
12.2333,-0.447979,-0.657793,-0.381068,1.920005
12.2500,-0.376447,-0.648908,-0.373509,1.821158
12.2667,-0.299860,-0.641782,-0.343419,1.729214
12.2833,-0.218680,-0.632297,-0.265388,1.619995
12.3000,-0.161842,-0.624361,-0.195094,1.515152
12.3167,-0.159331,-0.621907,-0.158291,1.504730
12.3500,-0.202706,-0.595246,-0.143227,1.503851
12.3667,-0.212435,-0.588120,-0.137633,1.498627
12.3833,-0.178535,-0.577353,-0.104899,1.387327
12.4000,-0.151779,-0.568305,-0.035659,1.273598
12.4167,-0.133606,-0.558500,0.011932,1.182084
12.4333,-0.103290,-0.552146,0.055262,1.084149
12.4500,-0.081847,-0.552994,0.089302,1.039265
12.4667,-0.077106,-0.552036,0.094695,1.040546
12.4833,-0.083098,-0.559474,0.119199,1.080690
12.5333,-0.051524,-0.578863,0.107837,1.277518
12.5500,-0.039452,-0.578688,0.008852,1.404452
12.5667,-0.004498,-0.577761,-0.072608,1.481553
12.5833,0.034733,-0.572920,-0.119113,1.504283
12.6000,0.078290,-0.554596,-0.135465,1.505143
12.6167,0.117669,-0.529937,-0.139321,1.504914
12.6333,0.165019,-0.509822,-0.140388,1.505033
12.6500,0.214201,-0.487530,-0.140322,1.505082
12.6667,0.245768,-0.481574,-0.139185,1.504767
12.6833,0.258775,-0.483566,-0.138085,1.504649
12.7000,0.265070,-0.484755,-0.137410,1.504635
12.7167,0.265985,-0.488679,-0.136631,1.504629
12.7333,0.270007,-0.496777,-0.137009,1.504631
12.7500,0.276368,-0.509010,-0.137661,1.504634
12.7667,0.281918,-0.521752,-0.138108,1.504635
12.7833,0.287402,-0.533165,-0.138543,1.504636
12.8000,0.292306,-0.542407,-0.138861,1.504637
12.8167,0.295665,-0.547098,-0.138897,1.504637
12.8333,0.297342,-0.547115,-0.138643,1.504636
12.8500,0.298700,-0.537906,-0.138406,1.504636
12.8667,0.293965,-0.524578,-0.138684,1.504638
12.8833,0.287976,-0.509764,-0.138228,1.504638
12.9000,0.281307,-0.496480,-0.137685,1.504635
