t_s,q_pitch,q_roll,q_yaw,q_elbow
8.3667,-0.042119,-0.392776,0.599564,0.852927
8.4000,-0.044042,-0.392343,0.598713,0.858682
8.4333,-0.046345,-0.391439,0.597942,0.861819
8.4667,-0.049604,-0.390978,0.596545,0.865976
8.5000,-0.051366,-0.392720,0.595595,0.865856
8.5333,-0.053464,-0.394080,0.594679,0.865311
8.5667,-0.055308,-0.395315,0.593834,0.864569
8.6000,-0.057412,-0.395601,0.593179,0.864302
8.6333,-0.060591,-0.395533,0.592193,0.864903
8.6667,-0.063307,-0.393180,0.591227,0.869371
8.7000,-0.065744,-0.390799,0.590525,0.871491
8.7333,-0.068897,-0.389957,0.589664,0.868690
8.7667,-0.071679,-0.389524,0.589082,0.868174
8.8000,-0.076046,-0.385649,0.588868,0.866650
8.8333,-0.080022,-0.380695,0.589053,0.865437
8.8667,-0.084192,-0.376856,0.589020,0.864912
8.9000,-0.089164,-0.373477,0.588818,0.862767
8.9333,-0.093503,-0.373642,0.587939,0.862461
8.9667,-0.097730,-0.375106,0.586786,0.860161
9.0000,-0.102652,-0.375996,0.585714,0.857789
9.0333,-0.108200,-0.377649,0.584412,0.855558
9.0667,-0.112778,-0.377930,0.583621,0.855212
9.1000,-0.117985,-0.378845,0.582528,0.857699
9.1333,-0.126441,-0.375986,0.581368,0.867310
9.1667,-0.135909,-0.370615,0.579651,0.881877
9.2000,-0.142286,-0.366074,0.577473,0.892306
9.2333,-0.147786,-0.361627,0.574858,0.902673
9.2667,-0.151617,-0.351719,0.574123,0.906724
9.3000,-0.157479,-0.339535,0.573096,0.914521
9.3333,-0.165791,-0.332231,0.569306,0.931410
9.3667,-0.171372,-0.330215,0.565603,0.937649
9.4000,-0.182353,-0.319799,0.559869,0.958925
9.4333,-0.187822,-0.312775,0.554079,0.974292
9.4667,-0.194096,-0.305771,0.546460,0.989869
9.5000,-0.198949,-0.301652,0.539180,1.000062
9.5333,-0.204347,-0.296195,0.533186,1.007478
9.5667,-0.207949,-0.292314,0.528266,1.011330
9.6000,-0.210717,-0.290588,0.526244,1.011460
9.6333,-0.213707,-0.285470,0.524940,1.010540
9.6667,-0.217282,-0.283603,0.523042,1.010353
9.7000,-0.219714,-0.282371,0.520306,1.011810
9.7333,-0.221393,-0.280663,0.517810,1.013238
9.7667,-0.222622,-0.278029,0.516471,1.013524
9.8000,-0.223730,-0.275165,0.516064,1.013083
9.8333,-0.225042,-0.272117,0.514913,1.013257
9.8667,-0.226232,-0.271433,0.514135,1.012731
9.9000,-0.227405,-0.271207,0.513290,1.011848
