t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
8.2000,0.3296,0.4356,0.2228,0.2345,0,0
8.2333,0.3288,0.4353,0.2221,0.2339,0,0
8.2667,0.3280,0.4348,0.2210,0.2328,0,0
8.3000,0.3280,0.4344,0.2200,0.2318,0,0
8.3333,0.3279,0.4334,0.2192,0.2310,0,0
8.3667,0.3268,0.4323,0.2178,0.2297,0,0
8.4000,0.3265,0.4313,0.2167,0.2286,0,0
8.4333,0.3254,0.4300,0.2154,0.2273,0,0
8.4667,0.3235,0.4280,0.2137,0.2256,0,0
8.5000,0.3234,0.4273,0.2127,0.2246,0,0
8.5333,0.3233,0.4266,0.2119,0.2237,0,0
8.5667,0.3227,0.4258,0.2108,0.2226,0,0
8.6000,0.3223,0.4247,0.2100,0.2217,0,0
8.6333,0.3217,0.4232,0.2094,0.2210,0,0
8.6667,0.3206,0.4211,0.2088,0.2203,0,0
8.7000,0.3199,0.4203,0.2087,0.2202,0,0
8.7333,0.3194,0.4200,0.2090,0.2203,0,0
8.7667,0.3186,0.4198,0.2089,0.2203,0,0
8.8000,0.3169,0.4201,0.2094,0.2206,0,0
8.8333,0.3143,0.4209,0.2097,0.2210,0,0
8.8667,0.3120,0.4212,0.2088,0.2202,0,0
8.9000,0.3105,0.4222,0.2088,0.2203,0,0
8.9333,0.3079,0.4220,0.2084,0.2199,0,0
8.9667,0.3063,0.4216,0.2080,0.2195,0,0
9.0000,0.3009,0.4198,0.2062,0.2179,0,0
9.0333,0.2935,0.4164,0.2047,0.2165,0,0
9.0667,0.2870,0.4122,0.2035,0.2154,0,0
9.1000,0.2835,0.4086,0.1999,0.2121,0,0
9.1333,0.2832,0.4077,0.1986,0.2109,0,0
9.1667,0.2721,0.3998,0.1907,0.2032,0,0
9.2000,0.2581,0.3905,0.1826,0.1955,0,0
9.2333,0.2503,0.3820,0.1758,0.1891,0,0
9.2667,0.2389,0.3745,0.1702,0.1836,0,0
9.3000,0.2333,0.3712,0.1662,0.1799,0,0
9.3333,0.2286,0.3692,0.1642,0.1778,0,0
9.3667,0.2305,0.3694,0.1629,0.1766,0,0
