t_s,left_shoulder_pitch,left_shoulder_roll,left_shoulder_yaw,left_elbow,left_wrist_roll,left_wrist_pitch,left_wrist_yaw,right_shoulder_pitch,right_shoulder_roll,right_shoulder_yaw,right_elbow,right_wrist_roll,right_wrist_pitch,right_wrist_yaw,waist_yaw
11.0000,-0.282686,-0.122833,0.000130,-0.045603,0.000000,0.000000,0.000000,-0.282687,0.122835,-0.000131,-0.045601,0.000000,0.000000,0.000000,0.000000
11.0200,-0.283135,-0.123156,0.000131,-0.053986,0.000000,0.000000,0.000000,-0.283136,0.123157,-0.000133,-0.053985,0.000000,0.000000,0.000000,0.000000
11.0400,-0.283574,-0.123470,0.000132,-0.062169,0.000000,0.000000,0.000000,-0.283574,0.123472,-0.000134,-0.062167,0.000000,0.000000,0.000000,0.000000
11.0600,-0.284001,-0.123777,0.000133,-0.070147,0.000000,0.000000,0.000000,-0.284002,0.123778,-0.000135,-0.070146,0.000000,0.000000,0.000000,0.000000
11.0800,-0.284418,-0.124076,0.000134,-0.077918,0.000000,0.000000,0.000000,-0.284418,0.124077,-0.000136,-0.077916,0.000000,0.000000,0.000000,0.000000
11.1000,-0.284823,-0.124366,0.000135,-0.085477,0.000000,0.000000,0.000000,-0.284823,0.124368,-0.000137,-0.085476,0.000000,0.000000,0.000000,0.000000
11.1200,-0.285217,-0.124649,0.000137,-0.092823,0.000000,0.000000,0.000000,-0.285217,0.124650,-0.000138,-0.092822,0.000000,0.000000,0.000000,0.000000
11.1400,-0.285599,-0.124923,0.000138,-0.099953,0.000000,0.000000,0.000000,-0.285599,0.124924,-0.000139,-0.099952,0.000000,0.000000,0.000000,0.000000
11.1600,-0.285969,-0.125189,0.000138,-0.106865,0.000000,0.000000,0.000000,-0.285970,0.125190,-0.000140,-0.106864,0.000000,0.000000,0.000000,0.000000
11.1800,-0.286328,-0.125446,0.000139,-0.113557,0.000000,0.000000,0.000000,-0.286328,0.125447,-0.000141,-0.113556,0.000000,0.000000,0.000000,0.000000
11.2000,-0.286675,-0.125695,0.000140,-0.120026,0.000000,0.000000,0.000000,-0.286675,0.125696,-0.000142,-0.120026,0.000000,0.000000,0.000000,0.000000
11.2200,-0.287009,-0.125935,0.000141,-0.126273,0.000000,0.000000,0.000000,-0.287010,0.125936,-0.000143,-0.126272,0.000000,0.000000,0.000000,0.000000
11.2400,-0.287332,-0.126166,0.000142,-0.132294,0.000000,0.000000,0.000000,-0.287332,0.126168,-0.000144,-0.132293,0.000000,0.000000,0.000000,0.000000
11.2600,-0.287643,-0.126389,0.000143,-0.138090,0.000000,0.000000,0.000000,-0.287643,0.126391,-0.000145,-0.138089,0.000000,0.000000,0.000000,0.000000
11.2800,-0.287941,-0.126603,0.000144,-0.143659,0.000000,0.000000,0.000000,-0.287942,0.126605,-0.000145,-0.143659,0.000000,0.000000,0.000000,0.000000
11.3000,-0.288228,-0.126809,0.000144,-0.149003,0.000000,0.000000,0.000000,-0.288228,0.126810,-0.000146,-0.149002,0.000000,0.000000,0.000000,0.000000
11.3200,-0.288502,-0.127005,0.000145,-0.154119,0.000000,0.000000,0.000000,-0.288502,0.127007,-0.000147,-0.154119,0.000000,0.000000,0.000000,0.000000
