t_s,q_pitch,q_roll,q_yaw,q_elbow
11.8167,0.081768,-1.065594,0.692324,-0.333643
11.8333,0.127222,-1.130926,0.692345,-0.327846
11.8500,0.086839,-1.098167,0.691460,-0.293688
11.8667,0.035352,-1.059919,0.687755,-0.256401
11.8833,-0.015688,-1.014813,0.688070,-0.228132
11.9000,0.081862,-1.124933,0.691339,-0.246748
11.9167,0.103289,-1.157051,0.691437,-0.211657
11.9333,0.158234,-1.218148,0.696703,-0.203251
11.9500,0.180207,-1.243892,0.699705,-0.158618
11.9667,0.304541,-1.314594,0.739707,-0.126836
11.9833,0.367607,-1.333369,0.769783,-0.106589
12.0000,0.510754,-1.345713,0.849734,-0.033010
12.0167,0.643613,-1.286504,0.943562,0.080336
12.0333,0.751198,-1.173718,1.028144,0.213130
12.0500,0.746912,-1.187220,1.024113,0.231272
12.0667,0.705868,-1.237920,0.995188,0.205316
12.0833,0.626839,-1.294095,0.945605,0.160951
12.1000,0.505695,-1.328955,0.876500,0.107688
12.1167,0.447636,-1.332664,0.845533,0.012419
12.1333,0.340642,-1.286084,0.799869,-0.101435
12.1500,0.227126,-1.205924,0.762962,-0.116799
12.1667,0.062611,-1.071776,0.725575,-0.081759
12.1833,0.046329,-1.061237,0.722092,-0.032061
12.2000,0.009842,-1.028660,0.717137,0.023547
12.2167,-0.068710,-0.947202,0.713442,0.027091
12.2333,-0.178262,-0.806530,0.726079,0.036499
12.2667,-0.074712,-0.869682,0.745885,0.004795
12.2833,-0.096446,-0.820225,0.758959,0.039556
12.5833,-0.024011,-0.783592,0.731425,0.883591
12.6000,0.086567,-0.803675,0.727524,0.589582
12.6333,0.030229,-0.688700,0.744643,0.300122
12.6500,0.078617,-0.695339,0.769522,0.169893
12.6667,0.069923,-0.667651,0.787847,0.106475
12.6833,0.052936,-0.620388,0.808958,0.084235
12.7000,0.068300,-0.611319,0.829200,0.094285
12.7167,0.077660,-0.632557,0.836484,0.143278
12.7333,0.100712,-0.672509,0.839278,0.245943
12.7500,0.169500,-0.718645,0.849721,0.387316
12.7667,0.223416,-0.719919,0.861033,0.485050
12.7833,0.259192,-0.684988,0.864930,0.646067
12.8000,0.281816,-0.645161,0.855318,0.736040
12.8167,0.268708,-0.621911,0.834435,0.773803
12.8333,0.267093,-0.591410,0.825803,0.707915
12.8500,0.253491,-0.548037,0.823142,0.704959
12.8667,0.234846,-0.512784,0.818885,0.707783
12.8833,0.251971,-0.491425,0.828891,0.554465
12.9000,0.260557,-0.487381,0.833765,0.558155
12.9167,0.228827,-0.479562,0.832281,0.491476
12.9333,0.203787,-0.470715,0.834079,0.440121
12.9500,0.182902,-0.458315,0.840594,0.384824
12.9667,0.184107,-0.500203,0.834830,0.399732
12.9833,0.187617,-0.543874,0.829267,0.454150
13.0000,0.222405,-0.580621,0.829548,0.556875
13.0167,0.225464,-0.596383,0.812111,0.710669
13.0333,0.235285,-0.593566,0.775593,0.897973
13.0500,0.237530,-0.572217,0.779402,0.502899
13.0667,0.274319,-0.595838,0.786493,0.559507
13.0833,0.263255,-0.620895,0.771870,0.666504
13.1000,0.251523,-0.643096,0.748453,0.769484
13.1167,0.268712,-0.646125,0.744127,0.652215
13.1333,0.275195,-0.637231,0.746068,0.639204
13.1500,0.284451,-0.647994,0.740480,0.697627
13.1667,0.271470,-0.653939,0.724901,0.769137
13.1833,0.248947,-0.685441,0.709400,0.764991
13.2000,0.243929,-0.685775,0.700425,0.685453
13.2167,0.260428,-0.689004,0.702289,0.603055
13.2333,0.254266,-0.689769,0.702211,0.569563
13.2500,0.288927,-0.692515,0.711690,0.593933
13.2667,0.275002,-0.685483,0.712672,0.548521
13.2833,0.315849,-0.753024,0.705903,0.548955
13.3000,0.292326,-0.772407,0.695657,0.523749
13.3167,0.237276,-0.758960,0.687956,0.455124
13.3333,0.195534,-0.750833,0.684137,0.396916
13.3500,0.175751,-0.761636,0.681228,0.368175
13.3667,0.129394,-0.727001,0.684501,0.344342
13.3833,0.108441,-0.716327,0.689572,0.354051
13.4000,0.049378,-0.664675,0.697459,0.350895
13.4167,0.016019,-0.643839,0.702805,0.349498
13.4333,-0.020981,-0.604882,0.713363,0.364048
13.4500,-0.024620,-0.609003,0.716866,0.347186
13.4667,-0.013044,-0.615490,0.724397,0.336288
13.4833,0.012441,-0.632290,0.734980,0.308902
13.5000,0.034900,-0.654521,0.742649,0.293945
13.5167,0.057540,-0.677921,0.747723,0.285730
13.5333,0.049895,-0.676465,0.750823,0.290821
13.5500,0.045696,-0.679987,0.751424,0.288523
13.5667,0.043750,-0.694443,0.750372,0.280669
13.5833,0.041722,-0.707876,0.749323,0.275823
