t_s,margin_fid,margin_task,manip_fid,manip_task,viol_fid,viol_task
9.3167,0.5055,0.5661,0.2513,0.2549,0,0
9.3333,0.5037,0.5612,0.2532,0.2563,0,0
9.3500,0.4944,0.5495,0.2549,0.2583,0,0
9.3667,0.4933,0.5418,0.2565,0.2600,0,0
9.3833,0.4889,0.5347,0.2573,0.2606,0,0
9.4000,0.4871,0.5322,0.2581,0.2615,0,0
9.4167,0.4753,0.5152,0.2588,0.2617,0,0
9.4333,0.4679,0.5171,0.2591,0.2633,0,0
9.4500,0.4630,0.5152,0.2602,0.2646,0,0
9.4667,0.4515,0.5048,0.2616,0.2661,0,0
9.4833,0.4441,0.5077,0.2624,0.2679,0,0
9.5000,0.4381,0.5148,0.2617,0.2680,0,0
9.5167,0.4275,0.5053,0.2617,0.2680,0,0
9.5333,0.4276,0.5052,0.2618,0.2683,0,0
9.5500,0.4332,0.5157,0.2630,0.2699,0,0
9.5667,0.4407,0.5503,0.2625,0.2700,0,0
9.5833,0.4435,0.5773,0.2604,0.2677,0,0
9.6000,0.4485,0.5523,0.2584,0.2649,0,0
9.6167,0.4564,0.5192,0.2544,0.2596,0,0
9.6333,0.4653,0.5024,0.2530,0.2592,0,0
9.6500,0.4773,0.4814,0.2503,0.2559,0,0
9.6667,0.4342,0.4794,0.2508,0.2564,0,0
9.6833,0.4195,0.4364,0.2450,0.2459,0,0
9.7000,0.4262,0.4078,0.2364,0.2362,0,0
9.7167,0.4119,0.3990,0.2333,0.2361,0,0
9.7333,0.4185,0.4097,0.2371,0.2434,0,0
9.7500,0.4352,0.4272,0.2443,0.2521,0,0
9.7667,0.4192,0.4592,0.2528,0.2618,0,0
9.7833,0.4009,0.4625,0.2545,0.2632,0,0
9.8000,0.4325,0.4337,0.2493,0.2566,0,0
9.8167,0.4338,0.4190,0.2448,0.2519,0,0
9.8333,0.4128,0.3955,0.2376,0.2436,0,0
9.8500,0.4080,0.3920,0.2353,0.2413,0,0
9.8667,0.4022,0.3872,0.2342,0.2407,0,0
9.8833,0.3786,0.3595,0.2268,0.2319,0,0
9.9000,0.3530,0.3309,0.2162,0.2189,0,0
9.9167,0.3496,0.3299,0.2133,0.2158,0,0
9.9333,0.3441,0.3244,0.2107,0.2102,0,0
9.9500,0.3508,0.3311,0.2092,0.2047,0,0
9.9667,0.3580,0.3404,0.2088,0.2036,0,0
9.9833,0.3710,0.3561,0.2117,0.2078,0,0
10.0000,0.3707,0.3575,0.2119,0.2093,0,0
10.0167,0.3924,0.3702,0.2145,0.2026,0,0
10.0333,0.4305,0.4081,0.2229,0.2074,0,0
10.0500,0.4411,0.4514,0.2331,0.2166,0,0
10.0667,0.4049,0.4330,0.2451,0.2301,0,0
10.0833,0.3710,0.3955,0.2541,0.2415,0,0
10.1000,0.3888,0.3964,0.2508,0.2375,0,0
10.1167,0.3766,0.3646,0.2534,0.2403,0,0
10.1333,0.3570,0.3427,0.2572,0.2449,0,0
10.1500,0.3461,0.3437,0.2566,0.2448,0,0
10.1667,0.4027,0.4040,0.2420,0.2310,0,0
10.1833,0.4568,0.4605,0.2296,0.2228,0,0
10.2000,0.4426,0.4628,0.2364,0.2323,0,0
10.2167,0.3700,0.4666,0.2491,0.2476,0,0
10.2333,0.3109,0.4880,0.2589,0.2589,0,0
10.2500,0.1557,0.5115,0.2740,0.2692,0,0
10.2667,0.1462,0.5378,0.2824,0.2700,0,0
10.2833,0.1698,0.5678,0.2842,0.2683,0,0
10.3000,0.1956,0.5804,0.2814,0.2670,0,0
10.3167,0.1929,0.6214,0.2829,0.2644,0,0
10.5167,0.2300,0.6034,0.1095,0.0832,0,0
10.5333,0.0000,0.5900,0.0472,0.0335,1,0
10.5500,0.2056,0.5884,0.1124,0.0921,0,0
10.5667,0.3488,0.5579,0.2080,0.1832,0,0
10.5833,0.2793,0.5606,0.2465,0.2276,0,0
10.6000,0.1674,0.5138,0.2799,0.2556,0,0
10.6167,0.0924,0.4805,0.2872,0.2663,0,0
10.6333,0.1498,0.4926,0.2730,0.2674,0,0
10.6500,0.3330,0.5016,0.2624,0.2675,0,0
10.6667,0.2955,0.5047,0.2615,0.2672,0,0
10.6833,0.0228,0.4854,0.2893,0.2706,0,0
10.7000,0.1069,0.5090,0.2820,0.2687,0,0
10.7167,0.1938,0.5267,0.2712,0.2560,0,0
10.7333,0.2319,0.5274,0.2536,0.2337,0,0
10.7500,0.2048,0.5134,0.2297,0.2038,0,0
10.7667,0.2256,0.4977,0.2468,0.2252,0,0
